description	size	crc32	align	firmware_code	firmware_segment	firmware_partition	firmware_crc32
PX-W3U4 BDA Ver.1.4 64bit	207232	a1e8223d	4	00029f50	0002bac0	0002bf58	df0bf49a
PX-Q3U4 BDA Ver.1.4 64bit	207232	f9953f08	4	00029f50	0002bac0	0002bf58	df0bf49a
PX-W3PE4 BDA Ver.1.4 64bit	207232	69900db0	4	00029f50	0002bac0	0002bf58	df0bf49a
PX-Q3PE4 BDA Ver.1.4 64bit	207232	76e67055	4	00029f50	0002bac0	0002bf58	df0bf49a
PX-W3U4 BDA Ver.1.3 64bit	207360	9bd2358c	4	00029fd0	0002bb40	0002bfd8	df0bf49a
PX-Q3U4 BDA Ver.1.3 64bit	207360	14ddd3c3	4	00029fd0	0002bb40	0002bfd8	df0bf49a
PX-W3PE4 BDA Ver.1.3 64bit	207360	fd9fd9af	4	00029fd0	0002bb40	0002bfd8	df0bf49a
PX-Q3PE4 BDA Ver.1.3 64bit	207360	3037e4b1	4	00029fd0	0002bb40	0002bfd8	df0bf49a
PX-W3U4 BDA Ver.1.2 64bit	195968	3feb7702	4	00029fd0	0002a850	0002a9c0	0b41a994
PX-Q3U4 BDA Ver.1.2 64bit	195968	51f7e4fb	4	00029fd0	0002a850	0002a9c0	0b41a994
PX-W3PE4 BDA Ver.1.2 64bit	195968	19dd3eff	4	00029fd0	0002a850	0002a9c0	0b41a994
PX-Q3PE4 BDA Ver.1.2 64bit	195968	c48ad577	4	00029fd0	0002a850	0002a9c0	0b41a994
PX-W3U4 BDA Ver.1.1 64bit	191360	af8a5673	4	00028d50	000295d0	00028be6	0b41a994
PX-Q3U4 BDA Ver.1.1 64bit	191360	25517c75	4	00028d50	000295d0	00028be6	0b41a994
PX-W3PE4 BDA Ver.1.1 64bit	191360	8ea7d533	4	00028d50	000295d0	00028be6	0b41a994
PX-Q3PE4 BDA Ver.1.1 64bit	191360	14a5461f	4	00028d50	000295d0	00028be6	0b41a994
PX-W3U4 BDA Ver.1.0 64bit	189440	5743d95f	4	000287d0	00029050	00028666	0b41a994
PX-Q3U4 BDA Ver.1.0 64bit	189440	96a5469e	4	000287d0	00029050	00028666	0b41a994
PX-Q3PE4 BDA Ver.Beta 64bit	189440	e5421c5c	4	000287d0	00029050	00028666	0b41a994
PX-W3U4 BDA Ver.Beta 64bit	187776	31d5d9f1	4	00028150	000289d0	00027fe6	0b41a994
PX-W3PE4 BDA Ver.Beta 64bit	187776	709a3353	4	00028150	000289d0	00027fe6	0b41a994
PX-Q3U4 BDA Ver.Beta(8TS) 64bit	187776	ad45808c	4	00028150	000289d0	00027fe6	0b41a994
PX-Q3U4 BDA Ver.Beta(6TS) 64bit	187520	0cd9ce5d	4	00028050	000288d0	00027ee6	0b41a994
